career_id,career_name,core_skills,interests,personality_fit,description
250,Video Editor,After Effects;Audio;Color Grading;Premiere Pro;Storytelling;CRM,Media;Creativity;Post-Production;Compliance;Leadership,ENTP;INTP;ESTJ;ENFP,Edit video content and craft narratives.
251,Photographer,Client Communication;Editing;Lighting;Photography;Portfolio;Drafting,Media;Creativity;Art;Field,ENFP;ISTJ,Shoot and edit photos for clients or media.
252,Music Producer,Arrangement;Collaboration;DAW;Mixing;Sound Design;Drafting;PowerPoint;Quality Control,Music;Creativity;Production;Research,ESFJ;ENFP;INFP;ESTJ,Produce and polish music tracks.
253,Teacher (School),Assessment;Classroom Management;Communication;Lesson Planning;Subject Knowledge;Clinical Diagnosis;PowerPoint,Education;Teaching;Mentorship;Strategy;Compliance,ESFJ;ENFJ,Teach and mentor students at school level.
254,Professor/Lecturer,Grant Writing;Mentoring;Publications;Research;Teaching;Documentation;Negotiation;Sales,Education;Research;Teaching;Strategy;Sales,ENFP;INTJ;ENTP;INTP,Teach in college and publish research.
255,Instructional Designer,Assessment;Authoring Tools;Pedagogy;Storyboarding;UX;Customer Service,Education;Design;Learning;Research;Sales,ENFP;ENFJ;ESTJ,Design e-learning materials and curricula.
256,Sales Manager,CRM;Negotiation;Presentation;Sales Strategy;Targets;Communication;Logistics,Sales;Business;Leadership;Operations,INTP;ENFP;ENTP,Lead sales teams and manage revenue targets.
257,Business Development Executive,CRM;Cold Outreach;Follow-ups;Pitching;Prospecting;Budgeting,Sales;Growth;Client;Research,ENTP;ESTJ;INTP,Acquire new clients and partnerships.
258,HR Generalist,Compliance;Employee Relations;Excel;Payroll;Policies;ERP,HR;People;Operations;Compliance,ISTJ;ENFJ;ENFP;ISFJ,Handle HR ops and employee lifecycle.
259,Recruiter/Talent Acquisition,ATS;Coordination;JD Writing;Negotiation;Sourcing;Clinical Diagnosis,HR;Hiring;Communication;Leadership,ESTJ;ENFP,Find and evaluate candidates for roles.
260,Operations Manager,Budgeting;Leadership;Process Improvement;Quality;Scheduling;Customer Service,Operations;Management;Scaling;Creativity,INTP;ISTJ,Run day-to-day operations and improve efficiency.
261,Supply Chain Manager,Demand Planning;Excel;Inventory;Logistics;SAP;CAD;Clinical Diagnosis;Critical Thinking,Supply Chain;Logistics;Vendors;Teaching,INTP;ISTJ;ENTJ,Manage end-to-end supply chain.
262,Logistics Coordinator,Documentation;Excel;Routing;Tracking;Transportation;Finance,Logistics;Operations;Vendors;Creativity;Leadership,ESTJ;ISTJ,Coordinate shipments and warehousing.
263,Procurement Specialist,Contracts;Costing;Negotiation;SAP;Vendor Management;Event Management;Writing,Procurement;Vendors;Cost;Teaching;Research,ESFJ;ISTJ;INTP;ESTJ,Source goods/services and negotiate deals.
264,Hotel Manager,Budgeting;Guest Experience;Housekeeping;Operations;Revenue;Critical Thinking;Digital Marketing;Econometrics,Hospitality;Service;Operations;Strategy;Sales,ESFJ;ENFP,Manage hotel departments and guest satisfaction.
265,Chef,Creativity;Hygiene;Inventory;Menu Planning;Teamwork;Excel,Food;Creativity;Operations,ISFP;ESTJ;ENFP;ESFJ,Prepare dishes and manage kitchen operations.
266,Event Planner,Budgeting;Coordination;Creativity;Logistics;Negotiation;Communication;Graphic Design,Events;Creativity;Ops;Compliance;Teaching,ESTJ;ISTJ;ESFJ,Plan and execute events.
267,Travel Consultant,Customer Service;GDS;Geography;Itineraries;Sales;Accounting;Design Thinking,Travel;Service;Sales;Creativity;Teaching,ENFP;ENTP;ESTJ,Design travel plans and handle bookings.
268,Architect,3D Modeling;Building Codes;Design;Presentation;Project Management;Leadership,Architecture;Design;Construction;Teaching;Service,ISFP;ESFJ;INFJ;INTP,Design buildings and manage projects.
269,Civil Engineer,AutoCAD;Contracts;Estimation;Site Management;Structures;Digital Marketing;Marketing,Construction;Infrastructure;Project;Creativity;Strategy,ENTP;ISTJ,Plan and oversee civil works.
270,Environmental Scientist,Data Analysis;Field Work;GIS;Policy;Reporting;Anatomy;Teamwork,Environment;Research;Sustainability;Strategy,INFJ;INTP;ESFJ,Study environmental impacts and mitigation.
271,Agronomist,Crop Management;Extension;Irrigation;Pest Control;Soil Science;Design Thinking;Logistics,Agriculture;Field;Research;Sales,ESTJ;ESFJ;ISTJ,Optimize crop production and advise farmers.
272,Social Worker,Casework;Community Outreach;Coordination;Documentation;Empathy;Graphic Design,NGO;Community;Service;Leadership;Operations,ESTJ;ENTP;INFJ,Support individuals and communities.
273,NGO Program Manager,Budgeting;Coordination;Grant Writing;Monitoring & Evaluation;Program Design;Clinical Diagnosis;Logistics;Teamwork,NGO;Projects;Public;Operations,ENTP;ESFJ;ENFJ,Manage social programs and partnerships.
274,Sports Coach,Coaching;Communication;Fitness;Motivation;Planning;ERP;Econometrics;Law,Sports;Training;Mentorship;Sales;Research,ENFP;ISTJ;INTP,Train athletes and plan sessions.
275,Pilot,Checklists;Communication;Instrumentation;Navigation;Safety;Anatomy,Aviation;Safety;Precision;Field,ESTJ;INTP,Operate aircraft safely and efficiently.
276,Merchant Navy Officer,Compliance;Engine Ops;Navigation;Teamwork;Watchkeeping;Video Editing,Maritime;Operations;Safety;Compliance;Strategy,INTP;ENTJ;ISTJ,Operate ships and manage onboard operations.
277,Investment Analyst,Accounting;Finance;Presentation;Research;Valuation;CRM;Documentation;Excel,Markets;Analysis;Strategy;Teaching;Leadership,ENTP;ESFJ;ISTJ;ENFP,"Analyze companies, build models, and recommend investments."
278,Accountant,Accounting;ERP;Reconciliation;Reporting;Taxation;Communication;Logistics;Time Management,Compliance;Reporting;Detail;Service,INTP;ISTJ;ESFJ,"Prepare financial statements, manage taxes and compliance."
279,Financial Planner,Excel;Finance;Risk Management;Sales;Wealth Management;CRM;Econometrics;Event Management,Client;Planning;Finance;Strategy,ENTJ;ESFJ,"Advise clients on investments, insurance, and goals."
280,Risk Analyst,Excel;Reporting;Risk Management;SQL;Statistics;Accounting;Design Thinking;Finance,Risk;Governance;Data;Field,ENTP;ESTJ;INTP,Quantify and manage financial/operational risks.
281,Economist,Econometrics;R;Stata;Statistics;Writing;Digital Marketing;Research,Research;Policy;Data;Teaching,ENFP;INFJ;INTP,Study economic trends and evaluate policies.
282,Doctor (General Practitioner),Anatomy;Communication;Documentation;Patient Care;Pharmacology;Critical Thinking;Marketing;Video Editing,Healthcare;People;Service;Compliance,ESTJ;ISFJ;ESFJ;ENFJ,Diagnose and treat common illnesses; coordinate care.
283,Surgeon,Anatomy;Asepsis;Documentation;Surgery;Teamwork;Accounting,Healthcare;Precision;Emergency;Compliance,ENFP;ESTJ;ISTJ,Perform surgical procedures and manage perioperative care.
284,Nurse,Documentation;Empathy;Medication;Teamwork;Vitals;PowerPoint,Care;Healthcare;Service;Operations,ESFJ;ISFJ;ESTJ,Provide nursing care and coordinate with healthcare teams.
285,Pharmacist,Counseling;Documentation;Inventory;Pharmacology;Regulations;CRM;Creativity;Drafting,Healthcare;Compliance;Service;Research,ESTJ;INTJ,Dispense medications and advise on safe usage.
286,Physiotherapist,Anatomy;Assessment;Counseling;Exercise Therapy;Rehabilitation;Excel,Care;Movement;Health;Leadership,ENFP;ENTP;ESFJ,Help patients recover mobility and function.
287,Lawyer (Litigation),Case Research;Client Management;Drafting;Law;Negotiation;Creativity,Law;Advocacy;Strategy;Research;Service,ESFJ;INTJ;INTP;ISTJ,"Argue cases, draft petitions, and advise clients."
288,Corporate Lawyer,Company Law;Compliance;Contracts;Drafting;M&A;Customer Service;Writing,Law;Business;Strategy;Operations;Research,ESTJ;ENTJ,Draft/negotiates contracts and handle corporate compliance.
289,Legal Analyst,Case Research;Compliance;Contracts;Excel;Writing;Counseling;Rehabilitation,Law;Research;Writing;Creativity;Leadership,ISTJ;ENFP;ESFJ,Research legal issues and support attorneys.
290,Paralegal,Client Communication;Documentation;Drafting;Filing;Research;ERP;Public Speaking,Law;Support;Detail;Creativity;Service,ENTP;ESTJ;INTP,Support lawyers with documentation and prep.
291,Policy Analyst,Policy;Presentation;Stakeholder Analysis;Statistics;Writing;Accounting;ERP,Policy;Research;Public;Sales,INTP;INFJ;ESTJ,Evaluate policy options and impacts.
292,Political Campaign Manager,Budgeting;Communication;Data;Field Operations;Leadership;Data Analysis,Politics;Campaign;Public;Field;Compliance,ENFP;ESFJ;INTP,Plan and run political campaigns.
293,Civil Services Officer,Administration;Law;Management;Negotiation;Policy;Drafting;Supply Chain;Time Management,Governance;Public;Leadership;Operations,ISTJ;INTP;ESTJ,Implement policies and manage public programs.
294,Diplomat/Foreign Service,Analysis;International Relations;Negotiation;Protocol;Writing;Graphic Design;Sales,Policy;International;Public;Field,INTJ;ESFJ;ENTP;INTP,Represent the country and negotiate agreements.
295,Journalist,Fact-Checking;Interviewing;Multimedia;Reporting;Writing;Critical Thinking;Finance,Media;Storytelling;Public;Creativity,ENTP;INFJ,Report news and produce stories.
296,Video Editor,After Effects;Color Grading;Editing;Premiere Pro;Storytelling;Creativity,Media;Creativity;Post-Production;Teaching,ESFJ;ENFP,Edit video content and craft narratives.
297,Photographer,Client Communication;Composition;Editing;Lighting;Photography;CAD;Quality Control;Research,Media;Creativity;Art;Leadership,ISFP;INTP,Shoot and edit photos for clients or media.
298,Music Producer,Arrangement;Collaboration;DAW;Mixing;Sound Design;ERP,Music;Creativity;Production;Operations,ISFP;ISTJ;ENFP,Produce and polish music tracks.
299,Teacher (School),Assessment;Classroom Management;Communication;Lesson Planning;Subject Knowledge;Documentation;PowerPoint;Video Editing,Education;Teaching;Mentorship;Sales,ENFJ;ENFP;ESTJ;ENTP,Teach and mentor students at school level.
300,Professor/Lecturer,Curriculum;Grant Writing;Mentoring;Publications;Research;Counseling;Teamwork,Education;Research;Teaching;Sales;Operations,ESFJ;ISTJ,Teach in college and publish research.
301,Instructional Designer,Assessment;Authoring Tools;Pedagogy;UX;Writing;Creativity;Quality Control;Rehabilitation,Education;Design;Learning;Field,ENFP;ESTJ,Design e-learning materials and curricula.
302,Sales Manager,CRM;Negotiation;Pipeline;Sales Strategy;Targets;Logistics,Sales;Business;Leadership;Creativity,ENTJ;ESFJ,Lead sales teams and manage revenue targets.
303,Business Development Executive,CRM;Follow-ups;Negotiation;Pitching;Prospecting;Rehabilitation,Sales;Growth;Client;Operations;Research,ENTP;ESFJ;ENFP,Acquire new clients and partnerships.
304,HR Generalist,Compliance;Employee Relations;Excel;Payroll;Policies;CRM;Policy;Quality Control,HR;People;Operations;Creativity,ENFP;ESTJ;ENFJ,Handle HR ops and employee lifecycle.
305,Recruiter/Talent Acquisition,ATS;Coordination;Interviewing;Negotiation;Sourcing;Anatomy;Statistics,HR;Hiring;Communication;Strategy;Sales,ENFP;ESFJ,Find and evaluate candidates for roles.
306,Operations Manager,Budgeting;KPIs;Leadership;Process Improvement;Quality;Logistics;Photography,Operations;Management;Scaling;Creativity,ISTJ;ESTJ;ENTP,Run day-to-day operations and improve efficiency.
307,Supply Chain Manager,Demand Planning;Inventory;Logistics;Procurement;SAP;Sales,Supply Chain;Logistics;Vendors;Compliance;Leadership,ESFJ;ISTJ;ENTJ,Manage end-to-end supply chain.
308,Logistics Coordinator,Documentation;Excel;Routing;Transportation;Warehouse;PowerPoint,Logistics;Operations;Vendors;Strategy,ISTJ;ENTP,Coordinate shipments and warehousing.
309,Procurement Specialist,Compliance;Contracts;Negotiation;SAP;Vendor Management;First Aid;Statistics,Procurement;Vendors;Cost;Compliance;Field,ENFP;ENTJ;ESTJ;ENTP,Source goods/services and negotiate deals.
310,Hotel Manager,Budgeting;Front Office;Housekeeping;Operations;Revenue;Anatomy;Graphic Design,Hospitality;Service;Operations;Field;Creativity,ESTJ;ISTJ;ENFJ,Manage hotel departments and guest satisfaction.
311,Chef,Cooking;Creativity;Hygiene;Inventory;Menu Planning;Accounting;Law,Food;Creativity;Operations;Research;Strategy,ISFP;INTP;ENFP;ESFJ,Prepare dishes and manage kitchen operations.
312,Event Planner,Coordination;Creativity;Logistics;Negotiation;Vendor Management;Digital Marketing;Policy;Risk Management,Events;Creativity;Ops;Sales,INTP;ENFJ;ENTP;ENFP,Plan and execute events.
313,Travel Consultant,Bookings;Customer Service;GDS;Itineraries;Sales;Graphic Design;Quality Control;Writing,Travel;Service;Sales;Operations;Research,ENFP;ENTP;ISTJ;INTP,Design travel plans and handle bookings.
314,Architect,3D Modeling;Building Codes;Design;Presentation;Project Management;Clinical Diagnosis;Digital Marketing;Logistics,Architecture;Design;Construction;Research;Field,INTP;INTJ,Design buildings and manage projects.
315,Civil Engineer,AutoCAD;Contracts;Estimation;QA/QC;Structures;Policy,Construction;Infrastructure;Project;Research,ENTP;ISTJ,Plan and oversee civil works.
316,Environmental Scientist,Data Analysis;GIS;Policy;Reporting;Sampling;First Aid,Environment;Research;Sustainability;Compliance;Strategy,ENTP;ESFJ,Study environmental impacts and mitigation.
317,Agronomist,Crop Management;Extension;Field Trials;Irrigation;Pest Control;PowerPoint,Agriculture;Field;Research;Teaching;Strategy,INTJ;ESFJ;ISTJ;ISFJ,Optimize crop production and advise farmers.
318,Social Worker,Community Outreach;Coordination;Counseling;Documentation;Empathy;Accounting,NGO;Community;Service;Field;Strategy,ENTP;ISFJ;INFJ;ENFP,Support individuals and communities.
319,NGO Program Manager,Budgeting;Coordination;Grant Writing;Monitoring & Evaluation;Program Design;Finance;Marketing;Research,NGO;Projects;Public;Teaching,ISTJ;ENTJ,Manage social programs and partnerships.
320,Sports Coach,Assessment;Coaching;Communication;Fitness;Planning;CRM;Statistics,Sports;Training;Mentorship;Strategy;Sales,ESFJ;ESTJ;ISTJ,Train athletes and plan sessions.
321,Pilot,Checklists;Communication;Instrumentation;Navigation;Safety;PowerPoint,Aviation;Safety;Precision;Creativity;Strategy,ESTJ;ISTJ,Operate aircraft safely and efficiently.
322,Merchant Navy Officer,Compliance;Engine Ops;Navigation;Teamwork;Watchkeeping;Accounting;Foreign Language;Rehabilitation,Maritime;Operations;Safety,ENFP;ESTJ,Operate ships and manage onboard operations.
323,Investment Analyst,Excel;Finance;Financial Modeling;PowerPoint;Valuation;Pharmacology,Markets;Analysis;Strategy;Sales;Research,ISTJ;ENTP;INTP;ESTJ,"Analyze companies, build models, and recommend investments."
324,Accountant,Accounting;Auditing;ERP;Excel;Reporting;Event Management;Public Speaking,Compliance;Reporting;Detail;Creativity,ENFP;ISTJ;ESTJ,"Prepare financial statements, manage taxes and compliance."
325,Financial Planner,Communication;Excel;Risk Management;Sales;Wealth Management,Client;Planning;Finance;Leadership,INTP;ESFJ;ENFP;ESTJ,"Advise clients on investments, insurance, and goals."
326,Risk Analyst,Compliance;Excel;Governance;Reporting;SQL;Documentation;Drafting;PowerPoint,Risk;Governance;Data;Research,ESTJ;INTJ;ISTJ,Quantify and manage financial/operational risks.
327,Economist,Econometrics;R;Research;Stata;Statistics;Clinical Diagnosis,Research;Policy;Data;Creativity;Sales,ISTJ;ESTJ;INTJ,Study economic trends and evaluate policies.
328,Doctor (General Practitioner),Anatomy;Clinical Diagnosis;Communication;Patient Care;Pharmacology;Finance;Leadership,Healthcare;People;Service;Sales;Operations,INTP;ESTJ;INFJ,Diagnose and treat common illnesses; coordinate care.
329,Surgeon,Anatomy;Asepsis;Decision Making;Surgery;Teamwork;Law,Healthcare;Precision;Emergency;Creativity,ESTJ;INTJ;ENFP;ISTJ,Perform surgical procedures and manage perioperative care.
330,Nurse,Empathy;Medication;Patient Care;Teamwork;Vitals;CRM;Foreign Language;Public Speaking,Care;Healthcare;Service;Creativity,ENFP;ISTJ;ISFJ,Provide nursing care and coordinate with healthcare teams.
331,Pharmacist,Counseling;Dispensing;Documentation;Inventory;Regulations;Clinical Diagnosis;Creativity;Graphic Design,Healthcare;Compliance;Service;Field;Research,ISTJ;INTJ,Dispense medications and advise on safe usage.
332,Physiotherapist,Anatomy;Assessment;Counseling;Exercise Therapy;Rehabilitation;Critical Thinking;Time Management,Care;Movement;Health;Compliance;Sales,ESFJ;ESTJ,Help patients recover mobility and function.
333,Lawyer (Litigation),Case Research;Drafting;Law;Negotiation;Public Speaking;Digital Marketing;PowerPoint;Sales,Law;Advocacy;Strategy;Leadership;Service,ENTP;ISTJ;INTP;ESFJ,"Argue cases, draft petitions, and advise clients."
334,Corporate Lawyer,Company Law;Compliance;Contracts;Drafting;Negotiation;Communication,Law;Business;Strategy;Service,ESTJ;ISTJ;INTJ;INTP,Draft/negotiates contracts and handle corporate compliance.
335,Legal Analyst,Case Research;Compliance;Contracts;Excel;Policy;Counseling;First Aid,Law;Research;Writing;Compliance;Service,ENFP;ESTJ,Research legal issues and support attorneys.
336,Paralegal,Client Communication;Documentation;Drafting;Research;Scheduling;Risk Management,Law;Support;Detail;Sales;Compliance,ISFJ;INTP,Support lawyers with documentation and prep.
337,Policy Analyst,Presentation;Research;Stakeholder Analysis;Statistics;Writing;Critical Thinking;Photography;Procurement,Policy;Research;Public;Compliance,ISTJ;INFJ;ESFJ;INTP,Evaluate policy options and impacts.
338,Political Campaign Manager,Budgeting;Communication;Data;Field Operations;Strategy;CRM;Pharmacology;Writing,Politics;Campaign;Public;Creativity,ENTJ;ESTJ,Plan and run political campaigns.
339,Civil Services Officer,Administration;Management;Negotiation;Policy;Writing;Clinical Diagnosis;Drafting,Governance;Public;Leadership;Research,INTP;ESTJ,Implement policies and manage public programs.
340,Diplomat/Foreign Service,Analysis;International Relations;Languages;Protocol;Writing;Creativity;First Aid;Quality Control,Policy;International;Public;Creativity;Teaching,ENFJ;ENTP;ISTJ,Represent the country and negotiate agreements.
341,Journalist,Editing;Fact-Checking;Multimedia;Reporting;Writing;Anatomy;CAD;Negotiation,Media;Storytelling;Public;Compliance;Strategy,ENFP;ESTJ;ENTP,Report news and produce stories.
342,Video Editor,After Effects;Color Grading;Editing;Premiere Pro;Storytelling;Budgeting;First Aid;Project Management,Media;Creativity;Post-Production;Teaching,ESFJ;INFP;ISFP;ESTJ,Edit video content and craft narratives.
343,Photographer,Client Communication;Editing;Lighting;Photography;Portfolio;ERP;Policy,Media;Creativity;Art;Operations;Compliance,ESFJ;ENFP;ISFP;ISTJ,Shoot and edit photos for clients or media.
344,Music Producer,Arrangement;Collaboration;DAW;Mastering;Mixing;Digital Marketing;Econometrics;Supply Chain,Music;Creativity;Production,ISFP;ESTJ,Produce and polish music tracks.
345,Teacher (School),Assessment;Classroom Management;Communication;Lesson Planning;Subject Knowledge;Finance;Hospitality,Education;Teaching;Mentorship;Research,ESFJ;ENFJ;ISFJ,Teach and mentor students at school level.
346,Professor/Lecturer,Curriculum;Grant Writing;Mentoring;Research;Teaching;ERP;Pharmacology;Procurement,Education;Research;Teaching;Service,ISTJ;INTJ,Teach in college and publish research.
347,Instructional Designer,Authoring Tools;Pedagogy;Storyboarding;UX;Writing;Counseling,Education;Design;Learning;Teaching,ISFJ;INFJ,Design e-learning materials and curricula.
348,Sales Manager,CRM;Negotiation;Pipeline;Sales Strategy;Targets;Creativity;Project Management;Supply Chain,Sales;Business;Leadership;Teaching,ESTJ;ENFP,Lead sales teams and manage revenue targets.
349,Business Development Executive,CRM;Follow-ups;Negotiation;Pitching;Prospecting;Law,Sales;Growth;Client;Research,ESTJ;ENFJ;ENTP,Acquire new clients and partnerships.
350,HR Generalist,Compliance;Employee Relations;Excel;Payroll;Policies;Counseling;Research,HR;People;Operations;Leadership;Creativity,ENFP;ENTP;INTP;ESFJ,Handle HR ops and employee lifecycle.
351,Recruiter/Talent Acquisition,ATS;Coordination;Interviewing;JD Writing;Sourcing;Event Management;Leadership;Statistics,HR;Hiring;Communication;Creativity;Sales,ESFJ;ENFJ;INTP;ENTP,Find and evaluate candidates for roles.
352,Operations Manager,Budgeting;KPIs;Leadership;Process Improvement;Scheduling;Accounting;Event Management;Quality Control,Operations;Management;Scaling;Creativity,ENTP;ISTJ;ENFP,Run day-to-day operations and improve efficiency.
353,Supply Chain Manager,Demand Planning;Excel;Inventory;Logistics;Procurement;Counseling;Customer Service,Supply Chain;Logistics;Vendors;Leadership,ENFP;ISTJ,Manage end-to-end supply chain.
354,Logistics Coordinator,Excel;Routing;Tracking;Transportation;Warehouse;Leadership,Logistics;Operations;Vendors,ENTP;ESTJ;ISTJ,Coordinate shipments and warehousing.
355,Procurement Specialist,Compliance;Costing;Negotiation;SAP;Vendor Management;Pharmacology;Teamwork,Procurement;Vendors;Cost;Leadership,ENTP;ISTJ,Source goods/services and negotiate deals.
356,Hotel Manager,Budgeting;Front Office;Housekeeping;Operations;Revenue;Marketing,Hospitality;Service;Operations;Field;Sales,ESTJ;ENFJ,Manage hotel departments and guest satisfaction.
357,Chef,Cooking;Creativity;Hygiene;Menu Planning;Teamwork;Pharmacology,Food;Creativity;Operations;Service,ESFJ;ENFP;ESTJ,Prepare dishes and manage kitchen operations.
358,Event Planner,Coordination;Creativity;Logistics;Negotiation;Vendor Management;Digital Marketing;Marketing;Research,Events;Creativity;Ops;Leadership;Compliance,INTP;ESFJ;ENFJ,Plan and execute events.
359,Travel Consultant,Bookings;Customer Service;Geography;Itineraries;Sales;Logistics,Travel;Service;Sales;Operations,INTP;ESFJ;ESTJ,Design travel plans and handle bookings.
360,Architect,3D Modeling;Building Codes;CAD;Design;Project Management;Counseling;Research,Architecture;Design;Construction;Creativity,ENFP;INTP;ESFJ;INFJ,Design buildings and manage projects.
361,Civil Engineer,AutoCAD;Contracts;QA/QC;Site Management;Structures;Design Thinking;Negotiation,Construction;Infrastructure;Project;Teaching,ESTJ;ESFJ,Plan and oversee civil works.
362,Environmental Scientist,Data Analysis;Field Work;GIS;Policy;Sampling;Foreign Language;Supply Chain,Environment;Research;Sustainability;Creativity,ESFJ;INFJ;INTP,Study environmental impacts and mitigation.
363,Agronomist,Crop Management;Field Trials;Irrigation;Pest Control;Soil Science;Data Analysis;Finance,Agriculture;Field;Research;Teaching,INTP;ISTJ,Optimize crop production and advise farmers.
364,Social Worker,Casework;Community Outreach;Counseling;Documentation;Empathy;Critical Thinking;Digital Marketing;Marketing,NGO;Community;Service;Leadership;Field,INFJ;ENFP;ENFJ;ENTP,Support individuals and communities.
365,NGO Program Manager,Budgeting;Coordination;Grant Writing;Monitoring & Evaluation;Program Design;Problem Solving;Risk Management,NGO;Projects;Public;Research,ESFJ;ENFP;ENFJ;INTP,Manage social programs and partnerships.
366,Sports Coach,Assessment;Coaching;Communication;Fitness;Planning;Leadership,Sports;Training;Mentorship;Field;Teaching,INTP;ENFP;ENTP;ESFJ,Train athletes and plan sessions.
367,Pilot,Checklists;Communication;Instrumentation;Navigation;Safety;Documentation;ERP,Aviation;Safety;Precision;Leadership;Strategy,ESFJ;ISTJ,Operate aircraft safely and efficiently.
368,Merchant Navy Officer,Compliance;Navigation;Safety;Teamwork;Watchkeeping;Critical Thinking,Maritime;Operations;Safety;Sales;Compliance,ESTJ;ISTJ,Operate ships and manage onboard operations.
369,Investment Analyst,Accounting;Excel;Finance;Financial Modeling;Presentation;Critical Thinking;Problem Solving,Markets;Analysis;Strategy;Sales,INTJ;ENTJ;ISTJ,"Analyze companies, build models, and recommend investments."
370,Accountant,Accounting;Compliance;Excel;Reporting;Taxation;Finance;Graphic Design,Compliance;Reporting;Detail;Operations,ENTP;ISTJ;INTP,"Prepare financial statements, manage taxes and compliance."
371,Financial Planner,Communication;Excel;Finance;Risk Management;Sales;Data Analysis;ERP,Client;Planning;Finance;Strategy,ESTJ;ISTJ,"Advise clients on investments, insurance, and goals."
372,Risk Analyst,Compliance;Excel;Reporting;Risk Management;Statistics;Logistics,Risk;Governance;Data;Teaching;Sales,ISTJ,Quantify and manage financial/operational risks.
373,Economist,Econometrics;R;Research;Stata;Writing;Finance;Pharmacology,Research;Policy;Data;Field;Teaching,INTJ;INTP;ENTP,Study economic trends and evaluate policies.
374,Doctor (General Practitioner),Anatomy;Communication;Documentation;Patient Care;Pharmacology;Risk Management,Healthcare;People;Service;Field;Operations,ESFJ;ENFP;INTP,Diagnose and treat common illnesses; coordinate care.
375,Surgeon,Anatomy;Decision Making;Documentation;Surgery;Teamwork;CRM;Marketing,Healthcare;Precision;Emergency;Strategy;Compliance,ENTJ;ENFP;ESFJ,Perform surgical procedures and manage perioperative care.
376,Nurse,Documentation;Empathy;Medication;Patient Care;Vitals;Econometrics;First Aid,Care;Healthcare;Service;Compliance,INTP;ESFJ;ENTP;ISTJ,Provide nursing care and coordinate with healthcare teams.
377,Pharmacist,Counseling;Dispensing;Documentation;Pharmacology;Regulations;Event Management;Public Speaking,Healthcare;Compliance;Service;Strategy,ISFJ;ENTP;ISTJ,Dispense medications and advise on safe usage.
378,Physiotherapist,Anatomy;Assessment;Counseling;Exercise Therapy;Rehabilitation;Pharmacology;Policy,Care;Movement;Health;Operations;Creativity,INTP;ISFJ;INFJ;ESTJ,Help patients recover mobility and function.
379,Lawyer (Litigation),Case Research;Client Management;Drafting;Negotiation;Public Speaking;Leadership,Law;Advocacy;Strategy;Operations,ENFP;ENTJ,"Argue cases, draft petitions, and advise clients."
380,Corporate Lawyer,Company Law;Compliance;Contracts;Drafting;Negotiation;Public Speaking,Law;Business;Strategy;Creativity,ENFP;ISTJ,Draft/negotiates contracts and handle corporate compliance.
381,Legal Analyst,Case Research;Compliance;Contracts;Policy;Writing;Econometrics;Law,Law;Research;Writing;Field,ISTJ;ENTP,Research legal issues and support attorneys.
382,Paralegal,Documentation;Drafting;Filing;Research;Scheduling;Finance;Foreign Language;Problem Solving,Law;Support;Detail;Field;Teaching,ESFJ;ENFP;ENTP,Support lawyers with documentation and prep.
383,Policy Analyst,Policy;Presentation;Research;Statistics;Writing;Hospitality;Law,Policy;Research;Public;Service,INFJ;INTP,Evaluate policy options and impacts.
384,Political Campaign Manager,Budgeting;Data;Field Operations;Leadership;Strategy;Documentation;First Aid,Politics;Campaign;Public;Compliance,ISTJ;ESTJ;ENTJ;ENFJ,Plan and run political campaigns.
385,Civil Services Officer,Administration;Law;Negotiation;Policy;Writing;ERP,Governance;Public;Leadership;Teaching;Strategy,ESTJ;ESFJ;INTP,Implement policies and manage public programs.
386,Diplomat/Foreign Service,Analysis;International Relations;Negotiation;Protocol;Writing;Clinical Diagnosis,Policy;International;Public;Sales;Service,ENFP;ENTP,Represent the country and negotiate agreements.
387,Journalist,Fact-Checking;Interviewing;Multimedia;Reporting;Writing;Supply Chain,Media;Storytelling;Public;Research;Strategy,ESTJ;ENTP;ENFP,Report news and produce stories.
388,Video Editor,After Effects;Color Grading;Editing;Premiere Pro;Storytelling;Quality Control;Research,Media;Creativity;Post-Production;Operations,ENFP;INTP;ISFP;INFP,Edit video content and craft narratives.
389,Photographer,Composition;Editing;Lighting;Photography;Portfolio;Leadership;Policy;Time Management,Media;Creativity;Art;Sales,ISTJ;INTP;ISFP,Shoot and edit photos for clients or media.
390,Music Producer,Arrangement;Collaboration;Mastering;Mixing;Sound Design;Econometrics;Hospitality,Music;Creativity;Production;Teaching;Compliance,ESFJ;ISFP;INTP;ENFP,Produce and polish music tracks.
391,Teacher (School),Assessment;Classroom Management;Communication;Lesson Planning;Subject Knowledge;Supply Chain,Education;Teaching;Mentorship;Research,ESFJ;ENFP;ENTP,Teach and mentor students at school level.
392,Professor/Lecturer,Curriculum;Grant Writing;Publications;Research;Teaching;CRM;Negotiation;Writing,Education;Research;Teaching;Operations,INFJ;ESFJ,Teach in college and publish research.
393,Instructional Designer,Assessment;Authoring Tools;Pedagogy;Storyboarding;UX;Digital Marketing,Education;Design;Learning;Field;Sales,ENFP;INTP,Design e-learning materials and curricula.
394,Sales Manager,CRM;Negotiation;Presentation;Sales Strategy;Targets;Data Analysis;Documentation,Sales;Business;Leadership;Compliance;Strategy,ENFP;ENFJ;ESFJ;ESTJ,Lead sales teams and manage revenue targets.
